0,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Thamel,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Hanuman Dhoka Temple,Kumari House,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Jagannath Temple,Freak Street,Kasthamandap,Asan,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Bajrayogini Temple,Royal Botanical Gardens,Seto Machindranath Temple,Tribhuvan Museum,Rani Pokhari,Ratna Park,Babar Mahal,Singha Durbar,Basantapur Tower,Ashok Binayak,Pilgrims Book House,Shechen Monastery,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Chisapani,Dhulikhel,Kirtipur,Phulchoki,Kulekhani,Lakuri Bhanjyang,Namo Buddha,Kakani,Helambu,Jump KTM,Art in Paradise Nepal,Whoopee Land,Astrek Park,Kathmandu Sports Climbing Centre,House of Palettes,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Ashok Binayak,21 mins,26 mins,11 mins,14 mins,31 mins,10 mins,3 mins,9 mins,3 mins,31 mins,11 mins,11 mins,6 mins,8 mins,3 mins,9 mins,21 mins,7 mins,41 mins,6 mins,27 mins,55 mins,40 mins,19 mins,9 mins,11 mins,12 mins,10 mins,12 mins,9 mins,1 min,8 mins,26 mins,30 mins,16 mins,1 hour 7 mins,26 mins,1 hour 40 mins,47 mins,24 mins,1 hour 13 mins,18 mins,58 mins,1 hour 33 mins,1 hour 5 mins,1 hour 29 mins,1 hour 16 mins,inf,21 mins,10 mins,22 mins,9 mins,6 mins,16 mins,14 mins,9 mins
Pilgrims Book House,18 mins,24 mins,14 mins,9 mins,29 mins,6 mins,7 mins,15 mins,7 mins,29 mins,9 mins,11 mins,12 mins,14 mins,7 mins,4 mins,26 mins,4 mins,47 mins,11 mins,26 mins,54 mins,45 mins,16 mins,15 mins,10 mins,10 mins,13 mins,13 mins,15 mins,8 mins,1 min,24 mins,28 mins,22 mins,1 hour 10 mins,31 mins,1 hour 41 mins,51 mins,25 mins,1 hour 17 mins,24 mins,1 hour 3 mins,1 hour 38 mins,1 hour 11 mins,1 hour 32 mins,1 hour 17 mins,inf,19 mins,14 mins,27 mins,7 mins,6 mins,21 mins,12 mins,8 mins
Shechen Monastery,11 mins,4 mins,32 mins,22 mins,11 mins,18 mins,27 mins,27 mins,27 mins,24 mins,19 mins,26 mins,26 mins,26 mins,27 mins,23 mins,39 mins,24 mins,1 hour 0 mins,29 mins,6 mins,36 mins,49 mins,12 mins,27 mins,20 mins,20 mins,19 mins,20 mins,27 mins,27 mins,22 mins,1 min,7 mins,28 mins,1 hour 6 mins,47 mins,1 hour 40 mins,46 mins,37 mins,1 hour 14 mins,38 mins,1 hour 9 mins,1 hour 51 mins,1 hour 8 mins,1 hour 30 mins,1 hour 28 mins,inf,11 mins,22 mins,41 mins,20 mins,23 mins,32 mins,20 mins,20 mins
Khawalung Monastery,17 mins,9 mins,37 mins,28 mins,6 mins,24 mins,33 mins,32 mins,33 mins,21 mins,23 mins,32 mins,32 mins,32 mins,33 mins,28 mins,45 mins,30 mins,1 hour 5 mins,36 mins,9 mins,38 mins,55 mins,18 mins,32 mins,25 mins,25 mins,25 mins,25 mins,32 mins,33 mins,28 mins,8 mins,1 min,34 mins,1 hour 8 mins,52 mins,1 hour 37 mins,48 mins,38 mins,1 hour 16 mins,43 mins,1 hour 15 mins,1 hour 56 mins,1 hour 14 mins,1 hour 32 mins,1 hour 29 mins,inf,10 mins,28 mins,47 mins,26 mins,28 mins,37 mins,25 mins,26 mins
Patan Durbar Square,21 mins,27 mins,23 mins,20 mins,34 mins,15 mins,16 mins,16 mins,16 mins,38 mins,18 mins,17 mins,13 mins,16 mins,15 mins,16 mins,19 mins,18 mins,39 mins,17 mins,29 mins,54 mins,30 mins,19 mins,16 mins,13 mins,14 mins,11 mins,12 mins,16 mins,16 mins,19 mins,28 mins,32 mins,1 min,1 hour 0 mins,32 mins,1 hour 53 mins,41 mins,37 mins,1 hour 7 mins,21 mins,48 mins,1 hour 30 mins,51 mins,1 hour 22 mins,1 hour 28 mins,inf,26 mins,13 mins,21 mins,17 mins,19 mins,11 mins,14 mins,18 mins
Nagarkot,1 hour 4 mins,1 hour 5 mins,1 hour 17 mins,1 hour 12 mins,1 hour 15 mins,1 hour 8 mins,1 hour 11 mins,1 hour 10 mins,1 hour 11 mins,1 hour 24 mins,1 hour 10 mins,1 hour 9 mins,1 hour 8 mins,1 hour 9 mins,1 hour 10 mins,1 hour 8 mins,1 hour 15 mins,1 hour 10 mins,1 hour 35 mins,1 hour 11 mins,1 hour 5 mins,48 mins,1 hour 21 mins,1 hour 6 mins,1 hour 10 mins,1 hour 6 mins,1 hour 7 mins,1 hour 2 mins,1 hour 3 mins,1 hour 10 mins,1 hour 10 mins,1 hour 12 mins,1 hour 8 mins,1 hour 10 mins,1 hour 3 mins,1 min,1 hour 29 mins,2 hours 40 mins,38 mins,1 hour 30 mins,57 mins,1 hour 17 mins,1 hour 41 mins,2 hours 27 mins,1 hour 28 mins,1 hour 13 mins,2 hours 21 mins,inf,1 hour 10 mins,1 hour 5 mins,1 hour 17 mins,1 hour 10 mins,1 hour 13 mins,1 hour 7 mins,1 hour 6 mins,1 hour 10 mins
Chandragiri,43 mins,49 mins,29 mins,37 mins,57 mins,33 mins,28 mins,30 mins,28 mins,55 mins,35 mins,34 mins,26 mins,30 mins,27 mins,33 mins,33 mins,32 mins,53 mins,24 mins,51 mins,1 hour 19 mins,52 mins,41 mins,30 mins,31 mins,32 mins,30 mins,32 mins,30 mins,28 mins,33 mins,50 mins,54 mins,33 mins,1 hour 27 mins,1 min,2 hours 2 mins,1 hour 8 mins,46 mins,1 hour 34 mins,23 mins,1 hour 10 mins,1 hour 45 mins,1 hour 18 mins,1 hour 49 mins,1 hour 37 mins,inf,47 mins,31 mins,34 mins,35 mins,31 mins,29 mins,34 mins,34 mins
Shivapuri Nagarjun National Park,1 hour 42 mins,1 hour 43 mins,1 hour 43 mins,1 hour 44 mins,1 hour 36 mins,1 hour 40 mins,1 hour 44 mins,1 hour 48 mins,1 hour 44 mins,1 hour 31 mins,1 hour 41 mins,1 hour 49 mins,1 hour 45 mins,1 hour 48 mins,1 hour 44 mins,1 hour 44 mins,1 hour 59 mins,1 hour 42 mins,2 hours 20 mins,1 hour 43 mins,1 hour 45 mins,2 hours 13 mins,2 hours 19 mins,1 hour 42 mins,1 hour 48 mins,1 hour 44 mins,1 hour 43 mins,1 hour 46 mins,1 hour 47 mins,1 hour 48 mins,1 hour 41 mins,1 hour 42 mins,1 hour 42 mins,1 hour 39 mins,1 hour 55 mins,2 hours 39 mins,2 hours 1 min,1 min,2 hours 20 mins,1 hour 33 mins,2 hours 45 mins,1 hour 56 mins,2 hours 37 mins,3 hours 11 mins,2 hours 39 mins,3 hours 1 min,2 hours 21 mins,inf,1 hour 31 mins,1 hour 47 mins,2 hours 0 mins,1 hour 42 mins,1 hour 38 mins,1 hour 55 mins,1 hour 46 mins,1 hour 39 mins
Bhaktapur Durbar Square,44 mins,45 mins,57 mins,52 mins,55 mins,48 mins,51 mins,50 mins,51 mins,1 hour 4 mins,50 mins,49 mins,48 mins,49 mins,50 mins,48 mins,55 mins,50 mins,1 hour 15 mins,51 mins,45 mins,37 mins,1 hour 1 min,46 mins,50 mins,46 mins,47 mins,42 mins,43 mins,50 mins,50 mins,52 mins,48 mins,51 mins,43 mins,36 mins,1 hour 9 mins,2 hours 20 mins,1 min,1 hour 10 mins,55 mins,57 mins,1 hour 21 mins,2 hours 7 mins,1 hour 9 mins,1 hour 11 mins,2 hours 1 min,inf,50 mins,45 mins,57 mins,50 mins,53 mins,48 mins,46 mins,50 mins
Chisapani,36 mins,39 mins,28 mins,29 mins,40 mins,25 mins,28 mins,33 mins,29 mins,38 mins,26 mins,34 mins,30 mins,32 mins,28 mins,28 mins,44 mins,26 mins,1 hour 5 mins,28 mins,40 mins,1 hour 8 mins,1 hour 4 mins,34 mins,33 mins,28 mins,28 mins,31 mins,31 mins,33 mins,26 mins,27 mins,39 mins,40 mins,40 mins,1 hour 28 mins,46 mins,1 hour 34 mins,1 hour 9 mins,1 min,1 hour 35 mins,40 mins,1 hour 22 mins,1 hour 56 mins,1 hour 29 mins,1 hour 50 mins,51 mins,inf,30 mins,32 mins,45 mins,24 mins,23 mins,40 mins,30 mins,23 mins
Dhulikhel,1 hour 14 mins,1 hour 15 mins,1 hour 25 mins,1 hour 20 mins,1 hour 25 mins,1 hour 16 mins,1 hour 19 mins,1 hour 18 mins,1 hour 19 mins,1 hour 34 mins,1 hour 18 mins,1 hour 17 mins,1 hour 16 mins,1 hour 17 mins,1 hour 18 mins,1 hour 16 mins,1 hour 23 mins,1 hour 18 mins,1 hour 43 mins,1 hour 19 mins,1 hour 15 mins,1 hour 26 mins,1 hour 29 mins,1 hour 14 mins,1 hour 18 mins,1 hour 14 mins,1 hour 15 mins,1 hour 10 mins,1 hour 11 mins,1 hour 18 mins,1 hour 18 mins,1 hour 20 mins,1 hour 18 mins,1 hour 21 mins,1 hour 11 mins,1 hour 1 min,1 hour 36 mins,2 hours 50 mins,57 mins,1 hour 38 mins,1 min,1 hour 25 mins,1 hour 49 mins,2 hours 34 mins,1 hour 7 mins,41 mins,2 hours 29 mins,inf,1 hour 20 mins,1 hour 13 mins,1 hour 25 mins,1 hour 18 mins,1 hour 21 mins,1 hour 15 mins,1 hour 14 mins,1 hour 18 mins
Kirtipur,32 mins,39 mins,23 mins,28 mins,46 mins,23 mins,19 mins,21 mins,19 mins,48 mins,26 mins,25 mins,14 mins,20 mins,19 mins,24 mins,15 mins,24 mins,36 mins,17 mins,40 mins,1 hour 8 mins,41 mins,30 mins,21 mins,21 mins,23 mins,20 mins,21 mins,21 mins,19 mins,24 mins,39 mins,43 mins,21 mins,1 hour 15 mins,22 mins,1 hour 56 mins,56 mins,39 mins,1 hour 22 mins,1 min,59 mins,1 hour 27 mins,1 hour 6 mins,1 hour 37 mins,1 hour 31 mins,inf,37 mins,21 mins,14 mins,26 mins,22 mins,12 mins,23 mins,25 mins
Phulchoki,1 hour 6 mins,1 hour 12 mins,1 hour 8 mins,1 hour 7 mins,1 hour 19 mins,1 hour 3 mins,1 hour 1 min,1 hour 3 mins,1 hour 1 min,1 hour 26 mins,1 hour 5 mins,1 hour 4 mins,56 mins,1 hour 2 mins,1 hour 1 min,1 hour 3 mins,57 mins,1 hour 5 mins,1 hour 17 mins,1 hour 2 mins,1 hour 14 mins,1 hour 35 mins,36 mins,1 hour 5 mins,1 hour 3 mins,1 hour 1 min,1 hour 2 mins,58 mins,1 hour 0 mins,1 hour 3 mins,1 hour 1 min,1 hour 6 mins,1 hour 12 mins,1 hour 17 mins,52 mins,1 hour 42 mins,1 hour 13 mins,2 hours 40 mins,1 hour 22 mins,1 hour 24 mins,1 hour 48 mins,1 hour 0 mins,1 min,2 hours 8 mins,1 hour 22 mins,2 hours 3 mins,2 hours 16 mins,inf,1 hour 11 mins,1 hour 1 min,59 mins,1 hour 5 mins,1 hour 4 mins,51 mins,1 hour 2 mins,1 hour 5 mins
Kulekhani,1 hour 49 mins,1 hour 55 mins,1 hour 40 mins,1 hour 44 mins,2 hours 2 mins,1 hour 39 mins,1 hour 35 mins,1 hour 37 mins,1 hour 35 mins,2 hours 2 mins,1 hour 42 mins,1 hour 41 mins,1 hour 29 mins,1 hour 36 mins,1 hour 34 mins,1 hour 40 mins,1 hour 15 mins,1 hour 40 mins,51 mins,1 hour 34 mins,1 hour 57 mins,2 hours 18 mins,1 hour 50 mins,1 hour 45 mins,1 hour 37 mins,1 hour 37 mins,1 hour 38 mins,1 hour 35 mins,1 hour 37 mins,1 hour 37 mins,1 hour 34 mins,1 hour 40 mins,1 hour 55 mins,2 hours 0 mins,1 hour 33 mins,2 hours 25 mins,1 hour 45 mins,3 hours 12 mins,2 hours 5 mins,1 hour 56 mins,2 hours 31 mins,1 hour 28 mins,2 hours 7 mins,1 min,2 hours 15 mins,2 hours 46 mins,2 hours 48 mins,inf,1 hour 52 mins,1 hour 37 mins,1 hour 21 mins,1 hour 42 mins,1 hour 38 mins,1 hour 26 mins,1 hour 38 mins,1 hour 41 mins
Lakuri Bhanjyang,1 hour 5 mins,1 hour 8 mins,1 hour 14 mins,1 hour 11 mins,1 hour 18 mins,1 hour 7 mins,1 hour 8 mins,1 hour 8 mins,1 hour 7 mins,1 hour 25 mins,1 hour 9 mins,1 hour 8 mins,1 hour 3 mins,1 hour 7 mins,1 hour 7 mins,1 hour 7 mins,1 hour 5 mins,1 hour 9 mins,1 hour 26 mins,1 hour 8 mins,1 hour 10 mins,1 hour 28 mins,1 hour 2 mins,1 hour 5 mins,1 hour 8 mins,1 hour 5 mins,1 hour 6 mins,1 hour 1 min,1 hour 2 mins,1 hour 8 mins,1 hour 7 mins,1 hour 11 mins,1 hour 12 mins,1 hour 15 mins,53 mins,1 hour 29 mins,1 hour 20 mins,2 hours 41 mins,1 hour 9 mins,1 hour 29 mins,1 hour 8 mins,1 hour 7 mins,1 hour 21 mins,2 hours 17 mins,1 min,1 hour 2 mins,2 hours 20 mins,inf,1 hour 11 mins,1 hour 4 mins,1 hour 7 mins,1 hour 9 mins,1 hour 10 mins,58 mins,1 hour 5 mins,1 hour 9 mins
Namo Buddha,1 hour 28 mins,1 hour 29 mins,1 hour 39 mins,1 hour 34 mins,1 hour 40 mins,1 hour 30 mins,1 hour 33 mins,1 hour 32 mins,1 hour 33 mins,1 hour 48 mins,1 hour 32 mins,1 hour 31 mins,1 hour 30 mins,1 hour 31 mins,1 hour 32 mins,1 hour 31 mins,1 hour 37 mins,1 hour 33 mins,1 hour 58 mins,1 hour 34 mins,1 hour 29 mins,1 hour 40 mins,1 hour 44 mins,1 hour 28 mins,1 hour 32 mins,1 hour 28 mins,1 hour 29 mins,1 hour 24 mins,1 hour 25 mins,1 hour 32 mins,1 hour 32 mins,1 hour 34 mins,1 hour 33 mins,1 hour 35 mins,1 hour 25 mins,1 hour 15 mins,1 hour 51 mins,3 hours 4 mins,1 hour 12 mins,1 hour 52 mins,41 mins,1 hour 39 mins,2 hours 4 mins,2 hours 49 mins,1 hour 2 mins,1 min,2 hours 43 mins,inf,1 hour 34 mins,1 hour 28 mins,1 hour 39 mins,1 hour 32 mins,1 hour 35 mins,1 hour 30 mins,1 hour 28 mins,1 hour 32 mins
Kakani,1 hour 27 mins,1 hour 30 mins,1 hour 19 mins,1 hour 20 mins,1 hour 31 mins,1 hour 16 mins,1 hour 20 mins,1 hour 24 mins,1 hour 20 mins,1 hour 29 mins,1 hour 17 mins,1 hour 25 mins,1 hour 21 mins,1 hour 23 mins,1 hour 20 mins,1 hour 20 mins,1 hour 35 mins,1 hour 18 mins,1 hour 56 mins,1 hour 19 mins,1 hour 32 mins,1 hour 59 mins,1 hour 55 mins,1 hour 25 mins,1 hour 24 mins,1 hour 19 mins,1 hour 19 mins,1 hour 22 mins,1 hour 23 mins,1 hour 24 mins,1 hour 17 mins,1 hour 18 mins,1 hour 30 mins,1 hour 31 mins,1 hour 31 mins,2 hours 19 mins,1 hour 37 mins,2 hours 20 mins,2 hours 0 mins,51 mins,2 hours 26 mins,1 hour 32 mins,2 hours 13 mins,2 hours 47 mins,2 hours 20 mins,2 hours 41 mins,1 min,inf,1 hour 21 mins,1 hour 23 mins,1 hour 36 mins,1 hour 18 mins,1 hour 14 mins,1 hour 31 mins,1 hour 22 mins,1 hour 15 mins
Helambu,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1 min,inf,inf,inf,inf,inf,inf,inf,inf
Jump KTM,11 mins,12 mins,27 mins,20 mins,10 mins,15 mins,25 mins,24 mins,25 mins,14 mins,13 mins,23 mins,24 mins,23 mins,25 mins,20 mins,37 mins,21 mins,57 mins,27 mins,14 mins,41 mins,49 mins,11 mins,24 mins,16 mins,16 mins,18 mins,18 mins,24 mins,24 mins,19 mins,11 mins,10 mins,26 mins,1 hour 8 mins,45 mins,1 hour 30 mins,48 mins,28 mins,1 hour 14 mins,36 mins,1 hour 9 mins,1 hour 49 mins,1 hour 8 mins,1 hour 29 mins,1 hour 19 mins,inf,1 min,20 mins,39 mins,18 mins,19 mins,30 mins,17 mins,17 mins
Art in Paradise Nepal,16 mins,22 mins,20 mins,10 mins,29 mins,6 mins,13 mins,5 mins,13 mins,29 mins,8 mins,6 mins,12 mins,4 mins,13 mins,6 mins,28 mins,8 mins,48 mins,16 mins,24 mins,52 mins,42 mins,14 mins,5 mins,4 mins,5 mins,8 mins,8 mins,5 mins,14 mins,10 mins,22 mins,27 mins,17 mins,1 hour 5 mins,33 mins,1 hour 44 mins,45 mins,28 mins,1 hour 11 mins,25 mins,1 hour 0 mins,1 hour 39 mins,1 hour 5 mins,1 hour 27 mins,1 hour 19 mins,inf,19 mins,1 min,28 mins,8 mins,10 mins,20 mins,7 mins,8 mins
Whoopee Land,36 mins,42 mins,28 mins,32 mins,49 mins,27 mins,23 mins,25 mins,23 mins,50 mins,30 mins,29 mins,18 mins,24 mins,23 mins,28 mins,9 mins,28 mins,29 mins,23 mins,44 mins,1 hour 8 mins,40 mins,34 mins,25 mins,25 mins,27 mins,23 mins,25 mins,25 mins,23 mins,28 mins,43 mins,47 mins,22 mins,1 hour 14 mins,33 mins,2 hours 1 min,55 mins,45 mins,1 hour 21 mins,14 mins,56 mins,1 hour 20 mins,1 hour 5 mins,1 hour 36 mins,1 hour 36 mins,inf,41 mins,25 mins,1 min,30 mins,26 mins,14 mins,27 mins,29 mins
Astrek Park,15 mins,21 mins,14 mins,4 mins,25 mins,3 mins,9 mins,15 mins,9 mins,25 mins,5 mins,12 mins,14 mins,14 mins,9 mins,4 mins,28 mins,6 mins,48 mins,13 mins,23 mins,50 mins,44 mins,13 mins,15 mins,7 mins,7 mins,10 mins,10 mins,15 mins,9 mins,4 mins,21 mins,24 mins,19 mins,1 hour 7 mins,33 mins,1 hour 38 mins,47 mins,22 mins,1 hour 13 mins,25 mins,1 hour 2 mins,1 hour 40 mins,1 hour 7 mins,1 hour 29 mins,1 hour 14 mins,inf,15 mins,10 mins,29 mins,1 min,5 mins,22 mins,9 mins,1 min
Kathmandu Sports Climbing Centre,17 mins,22 mins,11 mins,10 mins,27 mins,6 mins,8 mins,12 mins,8 mins,27 mins,7 mins,13 mins,10 mins,12 mins,8 mins,7 mins,24 mins,5 mins,44 mins,9 mins,23 mins,51 mins,43 mins,15 mins,12 mins,9 mins,9 mins,12 mins,13 mins,12 mins,6 mins,6 mins,22 mins,25 mins,20 mins,1 hour 9 mins,29 mins,1 hour 37 mins,50 mins,21 mins,1 hour 16 mins,21 mins,1 hour 1 min,1 hour 36 mins,1 hour 8 mins,1 hour 31 mins,1 hour 12 mins,inf,17 mins,13 mins,25 mins,5 mins,1 min,19 mins,12 mins,5 mins
House of Palettes,23 mins,30 mins,17 mins,19 mins,37 mins,15 mins,10 mins,12 mins,10 mins,38 mins,17 mins,16 mins,5 mins,11 mins,10 mins,15 mins,14 mins,15 mins,34 mins,12 mins,31 mins,59 mins,31 mins,21 mins,12 mins,13 mins,14 mins,11 mins,12 mins,12 mins,10 mins,15 mins,30 mins,35 mins,11 mins,1 hour 5 mins,22 mins,1 hour 50 mins,46 mins,34 mins,1 hour 12 mins,11 mins,49 mins,1 hour 26 mins,56 mins,1 hour 27 mins,1 hour 25 mins,inf,28 mins,12 mins,15 mins,17 mins,13 mins,1 min,14 mins,16 mins
Kathmandu Fun Park,15 mins,21 mins,19 mins,12 mins,28 mins,8 mins,13 mins,10 mins,12 mins,31 mins,10 mins,9 mins,10 mins,9 mins,12 mins,9 mins,25 mins,11 mins,45 mins,13 mins,23 mins,51 mins,39 mins,13 mins,10 mins,6 mins,7 mins,5 mins,5 mins,10 mins,12 mins,12 mins,21 mins,26 mins,14 mins,1 hour 2 mins,30 mins,1 hour 46 mins,43 mins,30 mins,1 hour 9 mins,22 mins,57 mins,1 hour 36 mins,1 hour 3 mins,1 hour 24 mins,1 hour 21 mins,inf,19 mins,6 mins,25 mins,10 mins,13 mins,17 mins,1 min,10 mins
Outdoor Adventure Centre Nepal,15 mins,19 mins,14 mins,5 mins,24 mins,3 mins,10 mins,15 mins,11 mins,24 mins,4 mins,13 mins,13 mins,14 mins,10 mins,5 mins,27 mins,7 mins,48 mins,12 mins,21 mins,49 mins,44 mins,12 mins,15 mins,7 mins,7 mins,10 mins,10 mins,15 mins,9 mins,4 mins,19 mins,23 mins,19 mins,1 hour 7 mins,32 mins,1 hour 38 mins,47 mins,21 mins,1 hour 13 mins,24 mins,1 hour 2 mins,1 hour 39 mins,1 hour 7 mins,1 hour 29 mins,1 hour 13 mins,inf,15 mins,10 mins,28 mins,6 mins,4 mins,22 mins,9 mins,1 min
