0,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Thamel,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Hanuman Dhoka Temple,Kumari House,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Jagannath Temple,Freak Street,Kasthamandap,Asan,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Bajrayogini Temple,Royal Botanical Gardens,Seto Machindranath Temple,Tribhuvan Museum,Rani Pokhari,Ratna Park,Babar Mahal,Singha Durbar,Basantapur Tower,Ashok Binayak,Pilgrims Book House,Shechen Monastery,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Chisapani,Dhulikhel,Kirtipur,Phulchoki,Kulekhani,Lakuri Bhanjyang,Namo Buddha,Kakani,Helambu,Jump KTM,Art in Paradise Nepal,Whoopee Land,Astrek Park,Kathmandu Sports Climbing Centre,House of Palettes,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Narayanhiti Palace,12 mins,18 mins,18 mins,7 mins,23 mins,3 mins,12 mins,14 mins,12 mins,24 mins,1 min,13 mins,14 mins,13 mins,12 mins,7 mins,28 mins,9 mins,49 mins,16 mins,20 mins,48 mins,42 mins,10 mins,14 mins,6 mins,6 mins,8 mins,9 mins,14 mins,12 mins,7 mins,19 mins,22 mins,17 mins,1 hour 6 mins,34 mins,1 hour 39 mins,46 mins,25 mins,1 hour 12 mins,26 mins,1 hour 0 mins,1 hour 40 mins,1 hour 6 mins,1 hour 27 mins,1 hour 17 mins,inf,14 mins,10 mins,29 mins,5 mins,8 mins,21 mins,8 mins,6 mins
Indra Chowk,18 mins,24 mins,19 mins,12 mins,31 mins,8 mins,11 mins,5 mins,11 mins,31 mins,10 mins,1 min,14 mins,5 mins,11 mins,6 mins,30 mins,8 mins,50 mins,15 mins,26 mins,53 mins,44 mins,15 mins,5 mins,6 mins,7 mins,10 mins,10 mins,5 mins,12 mins,11 mins,24 mins,29 mins,19 mins,1 hour 7 mins,35 mins,1 hour 46 mins,47 mins,29 mins,1 hour 13 mins,27 mins,1 hour 2 mins,1 hour 41 mins,1 hour 7 mins,1 hour 29 mins,1 hour 21 mins,inf,21 mins,5 mins,30 mins,10 mins,12 mins,22 mins,9 mins,10 mins
Jagannath Temple,21 mins,28 mins,14 mins,16 mins,34 mins,11 mins,7 mins,9 mins,7 mins,34 mins,13 mins,13 mins,1 min,8 mins,6 mins,12 mins,16 mins,12 mins,36 mins,8 mins,29 mins,57 mins,35 mins,19 mins,9 mins,9 mins,10 mins,9 mins,10 mins,9 mins,6 mins,12 mins,28 mins,32 mins,13 mins,1 hour 5 mins,24 mins,1 hour 45 mins,46 mins,28 mins,1 hour 12 mins,13 mins,53 mins,1 hour 28 mins,1 hour 0 mins,1 hour 27 mins,1 hour 20 mins,inf,24 mins,9 mins,16 mins,14 mins,10 mins,11 mins,12 mins,13 mins
Freak Street,18 mins,24 mins,16 mins,12 mins,31 mins,8 mins,7 mins,1 min,7 mins,31 mins,10 mins,4 mins,7 mins,1 min,6 mins,8 mins,22 mins,10 mins,43 mins,10 mins,26 mins,54 mins,41 mins,16 mins,1 min,6 mins,7 mins,10 mins,10 mins,1 min,9 mins,12 mins,24 mins,29 mins,16 mins,1 hour 7 mins,28 mins,1 hour 46 mins,47 mins,30 mins,1 hour 13 mins,19 mins,59 mins,1 hour 34 mins,1 hour 5 mins,1 hour 28 mins,1 hour 21 mins,inf,21 mins,4 mins,23 mins,10 mins,12 mins,17 mins,9 mins,10 mins
Kasthamandap,22 mins,28 mins,12 mins,13 mins,33 mins,10 mins,1 min,7 mins,1 min,33 mins,12 mins,10 mins,6 mins,6 mins,1 min,8 mins,21 mins,6 mins,41 mins,6 mins,30 mins,57 mins,40 mins,19 mins,7 mins,11 mins,12 mins,10 mins,12 mins,7 mins,3 mins,7 mins,28 mins,32 mins,16 mins,1 hour 7 mins,26 mins,1 hour 43 mins,47 mins,27 mins,1 hour 13 mins,18 mins,58 mins,1 hour 33 mins,1 hour 5 mins,1 hour 29 mins,1 hour 18 mins,inf,23 mins,10 mins,22 mins,11 mins,8 mins,16 mins,14 mins,11 mins
Asan,14 mins,20 mins,15 mins,7 mins,27 mins,3 mins,8 mins,13 mins,8 mins,26 mins,5 mins,6 mins,12 mins,12 mins,8 mins,1 min,27 mins,3 mins,48 mins,12 mins,22 mins,50 mins,41 mins,12 mins,13 mins,5 mins,5 mins,7 mins,8 mins,13 mins,9 mins,6 mins,20 mins,25 mins,16 mins,1 hour 5 mins,32 mins,1 hour 41 mins,45 mins,25 mins,1 hour 11 mins,25 mins,1 hour 0 mins,1 hour 39 mins,1 hour 5 mins,1 hour 26 mins,1 hour 16 mins,inf,16 mins,8 mins,28 mins,4 mins,8 mins,20 mins,7 mins,5 mins
Taudaha Lake,37 mins,43 mins,28 mins,32 mins,50 mins,27 mins,23 mins,25 mins,23 mins,51 mins,30 mins,29 mins,18 mins,24 mins,23 mins,28 mins,1 min,28 mins,22 mins,23 mins,45 mins,1 hour 6 mins,38 mins,34 mins,25 mins,25 mins,27 mins,23 mins,25 mins,25 mins,23 mins,28 mins,43 mins,48 mins,21 mins,1 hour 13 mins,33 mins,2 hours 1 min,53 mins,45 mins,1 hour 19 mins,17 mins,55 mins,1 hour 13 mins,1 hour 3 mins,1 hour 35 mins,1 hour 36 mins,inf,41 mins,25 mins,9 mins,30 mins,26 mins,14 mins,27 mins,29 mins
Kathesimbhu Stupa,16 mins,23 mins,13 mins,8 mins,28 mins,5 mins,6 mins,14 mins,6 mins,28 mins,7 mins,8 mins,11 mins,13 mins,6 mins,3 mins,25 mins,1 min,46 mins,10 mins,24 mins,52 mins,44 mins,14 mins,14 mins,9 mins,9 mins,11 mins,12 mins,14 mins,7 mins,4 mins,23 mins,26 mins,21 mins,1 hour 9 mins,30 mins,1 hour 41 mins,49 mins,25 mins,1 hour 15 mins,23 mins,1 hour 2 mins,1 hour 37 mins,1 hour 9 mins,1 hour 30 mins,1 hour 16 mins,inf,18 mins,12 mins,26 mins,6 mins,6 mins,21 mins,11 mins,7 mins
Dakshinkali Temple,58 mins,1 hour 4 mins,49 mins,53 mins,1 hour 11 mins,49 mins,44 mins,46 mins,44 mins,1 hour 12 mins,51 mins,50 mins,39 mins,45 mins,44 mins,49 mins,24 mins,49 mins,1 min,44 mins,1 hour 6 mins,1 hour 27 mins,59 mins,55 mins,46 mins,47 mins,48 mins,44 mins,46 mins,46 mins,44 mins,49 mins,1 hour 4 mins,1 hour 9 mins,42 mins,1 hour 34 mins,54 mins,2 hours 22 mins,1 hour 14 mins,1 hour 6 mins,1 hour 40 mins,38 mins,1 hour 16 mins,52 mins,1 hour 24 mins,1 hour 56 mins,1 hour 57 mins,inf,1 hour 2 mins,46 mins,30 mins,51 mins,47 mins,36 mins,48 mins,50 mins
National Museum of Nepal,24 mins,31 mins,6 mins,18 mins,37 mins,14 mins,7 mins,10 mins,7 mins,35 mins,15 mins,15 mins,8 mins,10 mins,6 mins,12 mins,21 mins,11 mins,41 mins,1 min,32 mins,1 hour 0 mins,40 mins,22 mins,10 mins,12 mins,13 mins,12 mins,14 mins,10 mins,6 mins,12 mins,31 mins,33 mins,18 mins,1 hour 8 mins,23 mins,1 hour 42 mins,49 mins,26 mins,1 hour 15 mins,17 mins,58 mins,1 hour 32 mins,1 hour 5 mins,1 hour 30 mins,1 hour 17 mins,inf,27 mins,12 mins,21 mins,13 mins,9 mins,16 mins,15 mins,13 mins
